[76, 1441.3881, 257.40204, 1458.5265, 277.9234]
[77, 677.47656, 319.88995, 702.20087, 351.17615]
[78, 277.91306, 367.68207, 302.87228, 398.47412]
[79, 516.8333, 326.74988, 543.92554, 359.88968]
[80, 1431.206, 282.5682, 1453.8562, 308.83356]
[81, 8.164969, 433.84644, 43.711685, 475.71292]
[82, 1589.4619, 298.33667, 1622.0117, 333.3134]
[83, 631.781, 391.0099, 659.0772, 422.25272]
[84, 224.35399, 303.16006, 243.26657, 328.223]
[85, 684.4152, 253.94492, 694.557, 266.30457]
[86, 56.93074, 507.3046, 106.77121, 576.2871]
[87, 1872.8597, 235.17433, 1891.4631, 260.54816]
[88, 1394.5919, 292.1422, 1417.1729, 331.02356]
[89, 758.1404, 282.69028, 773.0113, 301.2279]
[90, 53.936752, 344.5535, 70.691154, 365.8355]
[91, 772.07697, 268.00726, 784.76526, 283.33093]
[92, 1792.7528, 252.4884, 1810.0271, 275.63705]
[93, 804.09454, 354.94385, 840.02515, 395.87134]
[94, 747.424, 264.17795, 759.75555, 279.4553]
[95, 754.0728, 293.79526, 769.317, 313.79312]
[96, 1422.0088, 259.94867, 1436.9456, 277.1137]
[97, 170.96281, 318.22867, 185.7544, 336.40848]
[98, 1799.4606, 305.4582, 1828.562, 341.5167]
[99, 857.3261, 346.2793, 882.63763, 380.46228]
[100, 1540.8136, 250.35689, 1558.8223, 277.96387]
[101, 210.43568, 378.70663, 234.18613, 411.40884]
[102, 179.0293, 283.43597, 192.7044, 300.05505]
[103, 1760.2927, 397.65982, 1803.5571, 455.948]
[104, 738.5035, 304.5467, 754.1827, 326.06473]
[105, 1606.077, 257.89355, 1629.699, 286.57892]
[106, 262.25305, 284.5552, 275.37662, 299.8914]
